Simulation Complete...
         65697726 function calls (65659680 primitive calls) in 72.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       94    0.001    0.000    0.009    0.000 __init__.py:1450(_preprocess_data)
       20    0.001    0.000    0.010    0.000 dataclasses.py:881(_process_class)
     5018    0.001    0.000    0.001    0.000 typing.py:1022(<genexpr>)
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:621(column_stack)
     4454    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
   306/12    0.001    0.000    0.003    0.000 core.py:916(_parseNoCache)
     3424    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
  535/472    0.001    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
     1832    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      471    0.001    0.000    0.002    0.000 typing.py:253(_deduplicate)
     1046    0.001    0.000    0.008    0.000 re.py:202(sub)
     8905    0.001    0.000    0.001    0.000 inspect.py:2699(kind)
        1    0.001    0.001    0.001    0.001 dtypes.py:1533(BaseMaskedDtype)
     1451    0.001    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      504    0.001    0.000    0.001    0.000 sre_parse.py:225(__init__)
      356    0.001    0.000    0.002    0.000 inspect.py:663(_finddoc)
     2524    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      100    0.001    0.000    0.008    0.000 pyplot.py:208(_add_pyplot_note)
      252    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      106    0.001    0.000    0.182    0.002 artist.py:158(_update_set_signature_and_docstring)
      241    0.001    0.000    0.001    0.000 sre_parse.py:268(getuntil)
     2512    0.000    0.000    0.001    0.000 sre_parse.py:82(groups)
      184    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
     5287    0.000    0.000    0.001    0.000 {built-in method posix.fspath}
      155    0.000    0.000    0.001    0.000 typing.py:1350(__init_subclass__)
      848    0.000    0.000    0.001    0.000 typing.py:1902(get_origin)
     2725    0.000    0.000    0.001    0.000 _docscrape.py:64(eof)
       54    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      468    0.000    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
        5    0.000    0.000    0.030    0.006 core.py:1(<module>)
      241    0.000    0.000    0.001    0.000 enum.py:590(_find_data_type)
  128/117    0.000    0.000    0.023    0.000 _docstring.py:122(__call__)
     1484    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      462    0.000    0.000    0.002    0.000 colors.py:278(to_rgba)
      161    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      499    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2153    0.000    0.000    0.001    0.000 inspect.py:277(isfunction)
       94    0.000    0.000    0.003    0.000 typing.py:532(Literal)
      120    0.000    0.000    0.001    0.000 pathlib.py:56(parse_parts)
      872    0.000    0.000    0.023    0.000 inspect.py:2998(from_callable)
      872    0.000    0.000    0.023    0.000 inspect.py:3252(signature)
     1076    0.000    0.000    0.000    0.000 functools.py:65(wraps)
   521/11    0.000    0.000    0.001    0.000 copy.py:128(deepcopy)
     2013    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
 1198/954    0.000    0.000    0.001    0.000 typing.py:1037(__hash__)
     1686    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      553    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
      227    0.000    0.000    0.047    0.000 artist.py:1415(__init__)
        3    0.000    0.000    0.003    0.001 _constants.py:1(<module>)
      456    0.000    0.000    0.010    0.000 artist.py:1532(number_of_parameters)
      356    0.000    0.000    0.001    0.000 inspect.py:653(_findclass)
      337    0.000    0.000    0.000    0.000 traitlets.py:526(__init__)
     3868    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       19    0.000    0.000    0.000    0.000 arrayprint.py:1678(_guarded_repr_or_str)
      445    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
      575    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     3984    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000   70.815   70.815 runExperiment.py:28(main)
      984    0.000    0.000    0.008    0.000 artist.py:1538(is_alias)
     2218    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     2298    0.000    0.000    0.001    0.000 inspect.py:191(isclass)
      186    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 helpers.py:745(<dictcomp>)
       86    0.000    0.000    0.000    0.000 token.py:24(__init__)
2700/2253    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      185    0.000    0.000    0.005    0.000 typing.py:1138(__getitem__)
     1665    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
      411    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
 2589/386    0.000    0.000    0.004    0.000 abc.py:121(__subclasscheck__)
       37    0.000    0.000    0.001    0.000 function_base.py:25(linspace)
     2080    0.000    0.000    0.001    0.000 typing.py:1031(__eq__)
      270    0.000    0.000    0.001    0.000 _decorators.py:379(<listcomp>)
       89    0.000    0.000    0.002    0.000 traitlets.py:960(__new__)
      582    0.000    0.000    0.001    0.000 _docscrape.py:57(seek_next_non_empty_line)
     2252    0.000    0.000    0.000    0.000 _docscrape.py:43(__getitem__)
      829    0.000    0.000    0.002    0.000 re.py:187(match)
      100    0.000    0.000    0.002    0.000 typing.py:1323(__class_getitem__)
      426    0.000    0.000    0.003    0.000 rcsetup.py:332(validate_color)
      445    0.000    0.000    0.003    0.000 core.py:575(copy)
   416/66    0.000    0.000    0.001    0.000 filters.py:286(eval_node)
      290    0.000    0.000    0.001    0.000 os.py:675(__getitem__)
