time,pos_x,pos_y,pos_z,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7
0.204,0.596507,0.209486,-0.089736,-0.663284343,-0.11744787,0.034995976,0.7665456,-0.007466554,0.919020199,0.060718011,0.444776512,-0.675596502,-0.009099573,1.53075,0.051833624,-0.857494664,0.411584834
0.206,0.596959,0.208883,-0.089736,-0.662395786,-0.118801363,0.0349774,0.7696139,-0.00736277,0.917300211,0.061540927,0.443630203,-0.678247117,-0.009477585,1.5379,0.051995315,-0.862043844,0.410632041
0.208,0.597416,0.208283,-0.089736,-0.661510222,-0.120160858,0.034958067,0.7726972,-0.007258613,0.915571224,0.062360938,0.442633945,-0.680797741,-0.009845982,1.54495,0.052161824,-0.866493012,0.409729895
0.21,0.597876,0.207686,-0.089736,-0.66062565,-0.121525354,0.034937976,0.7757945,-0.007154083,0.913834239,0.063179046,0.441587737,-0.683248373,-0.010209763,1.5519,0.05234315,-0.870842169,0.408728397
0.212,0.59834,0.207092,-0.089736,-0.659743071,-0.122893851,0.034917228,0.7789048,-0.00704928,0.912088255,0.063996251,0.440541581,-0.685599013,-0.010563929,1.55865,0.052509292,-0.875241315,0.407877549
0.214,0.598808,0.2065,-0.089736,-0.658863484,-0.12426735,0.034895721,0.7820291,-0.006944005,0.910333274,0.064810555,0.439395475,-0.687899663,-0.010928483,1.5653,0.052680251,-0.87954045,0.406927353
0.216,0.599279,0.205912,-0.089736,-0.657985889,-0.12564585,0.034873555,0.7851664,-0.006838559,0.908569293,0.065623959,0.43829942,-0.69025032,-0.011298424,1.5718,0.052861026,-0.883739573,0.40587781
0.218,0.599754,0.205326,-0.089736,-0.657110287,-0.127028351,0.034850528,0.7883167,-0.006732641,0.906798315,0.066434465,0.437303417,-0.692500986,-0.011668754,1.57805,0.053031616,-0.887838685,0.404978922
0.22,0.600233,0.204744,-0.089736,-0.656236676,-0.128415854,0.03482684,0.791479,-0.006626352,0.905018339,0.067243074,0.436207465,-0.694651661,-0.012044473,1.58425,0.053212021,-0.891987786,0.403880691
0.222,0.600715,0.204165,-0.089736,-0.655365057,-0.129807358,0.034802391,0.7946533,-0.006519792,0.903230364,0.068050787,0.435161564,-0.696652344,-0.012455583,1.5903,0.05333224,-0.896136875,0.402883118
0.224,0.601201,0.203588,-0.089736,-0.65449643,-0.131202863,0.034777179,0.7978406,-0.006412863,0.901433391,0.068854605,0.433965715,-0.698603036,-0.012847085,1.5963,0.053482273,-0.900035952,0.401886205
0.226,0.601691,0.203015,-0.089736,-0.653628794,-0.13260137,0.034750803,0.8010389,-0.006306063,0.89962942,0.06965753,0.432819918,-0.700503736,-0.013213979,1.60215,0.05366712,-0.903935018,0.400789953
0.228,0.602184,0.202445,-0.089736,-0.65276515,-0.134004878,0.034724163,0.8042492,-0.006198394,0.897818451,0.070458564,0.431674173,-0.702404445,-0.013561266,1.6078,0.05387678,-0.907734073,0.399794364
0.23,0.602681,0.201877,-0.089736,-0.651902497,-0.135411388,0.034696759,0.8074705,-0.006090356,0.895998484,0.071256707,0.430478479,-0.704355163,-0.013883948,1.6134,0.054111253,-0.911533116,0.39859944
0.232,0.603182,0.201313,-0.089736,-0.651042836,-0.136821899,0.034668588,0.8107028,-0.005981949,0.894171519,0.072052961,0.429332838,-0.70605589,-0.014252025,1.6189,0.054295537,-0.915332147,0.397405182
0.234,0.603686,0.200753,-0.089736,-0.650185166,-0.138236411,0.034639751,0.8139461,-0.005873173,0.892337555,0.072846327,0.428087249,-0.707756625,-0.014620498,1.6243,0.054479634,-0.918881167,0.396311592
0.236,0.604193,0.200195,-0.089736,-0.649330487,-0.139652925,0.034610147,0.8172004,-0.00576403,0.890495594,0.073637806,0.426941712,-0.709357369,-0.014994369,1.62955,0.054673542,-0.922480175,0.395168671
0.238,0.604704,0.199641,-0.089736,-0.648477799,-0.141073441,0.034579774,0.8204647,-0.005654519,0.888647635,0.0744274,0.425746228,-0.710908121,-0.015368638,1.63465,0.05486226,-0.926079172,0.394076421
0.24,0.605218,0.199089,-0.089736,-0.647627102,-0.142496958,0.034548633,0.823739,-0.00554454,0.886791677,0.075214111,0.424600796,-0.712508883,-0.015738305,1.63965,0.055045789,-0.929528157,0.392884843
0.242,0.605736,0.198541,-0.089736,-0.646779396,-0.143923476,0.034516822,0.8270233,-0.005434295,0.884928722,0.075998938,0.423355417,-0.713909653,-0.016108373,1.64455,0.055234128,-0.93297713,0.39169394
0.244,0.606258,0.197997,-0.089736,-0.645933681,-0.145352997,0.03448424,0.8303176,-0.005323684,0.883059769,0.076780885,0.42221009,-0.715260432,-0.016513842,1.6493,0.055372277,-0.936326091,0.390503712
0.246,0.606782,0.197455,-0.089736,-0.645090956,-0.146784518,0.034450887,0.8336209,-0.005212606,0.881183818,0.077560952,0.421014817,-0.71661122,-0.016904712,1.6539,0.055545234,-0.939725041,0.389214161
