time,pos_x,pos_y,pos_z
0.744,0.775933,0.194798,-0.089736
0.746,0.776474,0.195323,-0.089736
0.748,0.777013,0.195851,-0.089736
0.75,0.777547,0.196382,-0.089736
0.752,0.778079,0.196917,-0.089736
0.754,0.778607,0.197455,-0.089736
0.756,0.779132,0.197997,-0.089736
0.758,0.779653,0.198541,-0.089736
0.76,0.780171,0.199089,-0.089736
0.762,0.780685,0.199641,-0.089736
0.764,0.781196,0.200195,-0.089736
0.766,0.781704,0.200753,-0.089736
0.768,0.782208,0.201313,-0.089736
0.77,0.782708,0.201877,-0.089736
0.772,0.783205,0.202445,-0.089736
0.774,0.783698,0.203015,-0.089736
0.776,0.784188,0.203588,-0.089736
0.778,0.784674,0.204165,-0.089736
0.78,0.785156,0.204744,-0.089736
0.782,0.785635,0.205326,-0.089736
0.784,0.78611,0.205912,-0.089736
0.786,0.786581,0.2065,-0.089736
0.788,0.787049,0.207092,-0.089736
0.79,0.787513,0.207686,-0.089736
0.792,0.787973,0.208283,-0.089736
0.794,0.78843,0.208883,-0.089736
0.796,0.788883,0.209486,-0.089736
0.798,0.789332,0.210092,-0.089736
0.8,0.789777,0.210701,-0.089736
0.802,0.790218,0.211312,-0.089736
0.804,0.790655,0.211926,-0.089736
0.806,0.791089,0.212543,-0.089736
0.808,0.791518,0.213163,-0.089736
0.81,0.791944,0.213785,-0.089736
0.812,0.792366,0.21441,-0.089736
0.814,0.792784,0.215037,-0.089736
0.816,0.793198,0.215668,-0.089736
0.818,0.793608,0.2163,-0.089736
0.82,0.794014,0.216936,-0.089736
0.822,0.794416,0.217574,-0.089736
0.824,0.794814,0.218214,-0.089736
0.826,0.795208,0.218857,-0.089736
0.828,0.795598,0.219502,-0.089736
0.83,0.795984,0.22015,-0.089736
0.832,0.796365,0.2208,-0.089736
0.834,0.796743,0.221453,-0.089736
0.836,0.797117,0.222108,-0.089736
0.838,0.797486,0.222765,-0.089736
0.84,0.797851,0.223424,-0.089736
0.842,0.798213,0.224086,-0.089736
0.844,0.79857,0.22475,-0.089736
0.846,0.798922,0.225417,-0.089736
0.848,0.799271,0.226085,-0.089736
0.85,0.799615,0.226756,-0.089736
0.852,0.799956,0.227429,-0.089736
0.854,0.800292,0.228104,-0.089736
0.856,0.800623,0.228781,-0.089736
0.858,0.800951,0.22946,-0.089736
0.86,0.801274,0.230141,-0.089736
0.862,0.801593,0.230825,-0.089736
0.864,0.801907,0.23151,-0.089736
0.866,0.802218,0.232197,-0.089736
0.868,0.802524,0.232886,-0.089736
0.87,0.802825,0.233577,-0.089736
0.872,0.803122,0.23427,-0.089736
0.874,0.803415,0.234965,-0.089736
0.876,0.803704,0.235661,-0.089736
0.878,0.803988,0.23636,-0.089736
0.88,0.804268,0.23706,-0.089736
0.882,0.804543,0.237762,-0.089736
0.884,0.804814,0.238465,-0.089736
0.886,0.805081,0.239171,-0.089736
0.888,0.805343,0.239878,-0.089736
0.89,0.8056,0.240586,-0.089736
0.892,0.805853,0.241297,-0.089736
0.894,0.806102,0.242008,-0.089736
0.896,0.806346,0.242722,-0.089736
0.898,0.806586,0.243437,-0.089736
0.9,0.806821,0.244153,-0.089736
0.902,0.807052,0.244871,-0.089736
0.904,0.807278,0.24559,-0.089736
0.906,0.8075,0.246311,-0.089736
0.908,0.807717,0.247033,-0.089736
0.91,0.80793,0.247756,-0.089736
0.912,0.808138,0.248481,-0.089736
0.914,0.808341,0.249207,-0.089736
0.916,0.80854,0.249934,-0.089736
0.918,0.808735,0.250662,-0.089736
0.92,0.808925,0.251392,-0.089736
0.922,0.80911,0.252123,-0.089736
0.924,0.80929,0.252855,-0.089736
0.926,0.809466,0.253588,-0.089736
0.928,0.809638,0.254322,-0.089736
0.93,0.809805,0.255058,-0.089736
0.932,0.809967,0.255794,-0.089736
0.934,0.810124,0.256531,-0.089736
0.936,0.810277,0.25727,-0.089736
0.938,0.810425,0.258009,-0.089736
0.94,0.810569,0.258749,-0.089736
0.942,0.810708,0.25949,-0.089736
0.944,0.810842,0.260232,-0.089736
0.946,0.810972,0.260975,-0.089736
0.948,0.811097,0.261718,-0.089736
0.95,0.811217,0.262463,-0.089736
0.952,0.811333,0.263208,-0.089736
0.954,0.811444,0.263954,-0.089736
0.956,0.81155,0.2647,-0.089736
0.958,0.811652,0.265447,-0.089736
0.96,0.811748,0.266195,-0.089736
0.962,0.811841,0.266943,-0.089736
0.964,0.811928,0.267692,-0.089736
0.966,0.812011,0.268442,-0.089736
0.968,0.812089,0.269192,-0.089736
0.97,0.812162,0.269942,-0.089736
0.972,0.812231,0.270693,-0.089736
0.974,0.812294,0.271444,-0.089736
0.976,0.812354,0.272196,-0.089736
0.978,0.812408,0.272948,-0.089736
0.98,0.812458,0.2737,-0.089736
0.982,0.812503,0.274453,-0.089736
0.984,0.812543,0.275206,-0.089736
0.986,0.812579,0.275959,-0.089736
0.988,0.812609,0.276712,-0.089736
0.99,0.812635,0.277466,-0.089736
0.992,0.812657,0.278219,-0.089736
0.994,0.812673,0.278973,-0.089736
0.996,0.812685,0.279727,-0.089736
0.998,0.812692,0.280481,-0.089736
1,0.812695,0.281235,-0.089736
1.002,0.812692,0.281989,-0.089736
1.004,0.812685,0.282743,-0.089736
1.006,0.812673,0.283497,-0.089736
1.008,0.812657,0.284251,-0.089736
1.01,0.812635,0.285004,-0.089736
1.012,0.812609,0.285758,-0.089736
1.014,0.812579,0.286511,-0.089736
1.016,0.812543,0.287264,-0.089736
1.018,0.812503,0.288017,-0.089736
1.02,0.812458,0.28877,-0.089736
1.022,0.812408,0.289522,-0.089736
1.024,0.812354,0.290274,-0.089736
1.026,0.812294,0.291026,-0.089736
1.028,0.812231,0.291777,-0.089736
1.03,0.812162,0.292528,-0.089736
1.032,0.812089,0.293278,-0.089736
1.034,0.812011,0.294028,-0.089736
1.036,0.811928,0.294778,-0.089736
1.038,0.811841,0.295527,-0.089736
1.04,0.811748,0.296275,-0.089736
1.042,0.811652,0.297023,-0.089736
1.044,0.81155,0.29777,-0.089736
1.046,0.811444,0.298516,-0.089736
1.048,0.811333,0.299262,-0.089736
1.05,0.811217,0.300007,-0.089736
1.052,0.811097,0.300751,-0.089736
1.054,0.810972,0.301495,-0.089736
1.056,0.810842,0.302238,-0.089736
1.058,0.810708,0.30298,-0.089736
1.06,0.810569,0.303721,-0.089736
1.062,0.810425,0.304461,-0.089736
1.064,0.810277,0.3052,-0.089736
1.066,0.810124,0.305938,-0.089736
1.068,0.809967,0.306676,-0.089736
1.07,0.809805,0.307412,-0.089736
1.072,0.809638,0.308147,-0.089736
1.074,0.809466,0.308882,-0.089736
1.076,0.80929,0.309615,-0.089736
1.078,0.80911,0.310347,-0.089736
1.08,0.808925,0.311078,-0.089736
1.082,0.808735,0.311807,-0.089736
1.084,0.80854,0.312536,-0.089736
1.086,0.808341,0.313263,-0.089736
1.088,0.808138,0.313989,-0.089736
1.09,0.80793,0.314714,-0.089736
1.092,0.807717,0.315437,-0.089736
1.094,0.8075,0.316159,-0.089736
1.096,0.807278,0.31688,-0.089736
1.098,0.807052,0.317599,-0.089736
1.1,0.806821,0.318317,-0.089736
1.102,0.806586,0.319033,-0.089736
1.104,0.806346,0.319748,-0.089736
